id,brand,collection,code,name,hex_approx,is_custom_match,placeholder,notes
PNT-ML-COATING-ONLY,ML,ML Campbell Color Cards,COATING-ONLY,"ML Campbell coating, color TBD",,false,false,ML Campbell IS the coating system ACC uses on every paint job. Pick this when the color will be matched-to-sample later or specified in finish notes. ACC prefers ML Campbell branded colors when available; otherwise BM / SW codes are matched in ML Campbell.
PNT-ML-CC-WHITE,ML,Cabinetcoat,CC-WHITE,Cabinetcoat White (KARL TO CONFIRM),,false,true,ML Campbell Cabinetcoat off-the-shelf white. Karl to confirm exact code; placeholder until then.
PNT-ML-CC-EXTRAWHITE,ML,Cabinetcoat,CC-XW,Cabinetcoat Extra White (KARL TO CONFIRM),,false,true,ML Campbell Cabinetcoat brightest white. Karl to confirm exact code; placeholder until then.
PNT-ML-CC-LINEN,ML,Cabinetcoat,CC-LINEN,Cabinetcoat Linen (KARL TO CONFIRM),,false,true,ML Campbell Cabinetcoat warm off-white. Karl to confirm exact code; placeholder until then.
PNT-ML-CC-BLACK,ML,Cabinetcoat,CC-BLACK,Cabinetcoat Black (KARL TO CONFIRM),,false,true,ML Campbell Cabinetcoat true black. Karl to confirm exact code; placeholder until then.
PNT-BM-OC17,BM,Off-White,OC-17,White Dove,#F4EFE4,false,false,Most popular BM cabinet white · Coating: ML Campbell (ACC standard)
PNT-BM-OC65,BM,Off-White,OC-65,Chantilly Lace,#F6F3EC,false,false,Bright off-white; clean look · Coating: ML Campbell (ACC standard)
PNT-BM-OC130,BM,Classic Colors,OC-130,Cloud White,#EDE8DC,false,false,Warm off-white · Coating: ML Campbell (ACC standard)
PNT-BM-OC149,BM,Classic Colors,OC-149,Decorators White,#EBE6DC,false,false,Subtle warm undertone · Coating: ML Campbell (ACC standard)
PNT-BM-OC45,BM,Classic Colors,OC-45,Swiss Coffee,#EDE4D3,false,false,Creamy off-white · Coating: ML Campbell (ACC standard)
PNT-BM-OC57,BM,Off-White,OC-57,White Heron,#F0EBE1,false,false,Clean warm white · Coating: ML Campbell (ACC standard)
PNT-BM-OC152,BM,Off-White,OC-152,White Opulence,#EEE9E0,false,false,Soft warm white · Coating: ML Campbell (ACC standard)
PNT-BM-PM1,BM,Color Trends,PM-1,Simply White,#F3EEE4,false,false,BM 2016 Color of the Year · Coating: ML Campbell (ACC standard)
PNT-BM-2126-10,BM,Classic Colors,2126-10,Onyx,#353535,false,false,Deep near-black · Coating: ML Campbell (ACC standard)
PNT-BM-2167-10,BM,Classic Colors,2167-10,Soot,#2D2D2C,false,false,Soft matte black · Coating: ML Campbell (ACC standard)
PNT-BM-HC154,BM,Historical Collection,HC-154,Hale Navy,#3A4657,false,false,Dark navy for accents · Coating: ML Campbell (ACC standard)
PNT-BM-HC158,BM,Historical Collection,HC-158,Newburg Green,#3D4D45,false,false,Deep muted green · Coating: ML Campbell (ACC standard)
PNT-BM-HC166,BM,Historical Collection,HC-166,Kendall Charcoal,#595C60,false,false,Sophisticated dark gray · Coating: ML Campbell (ACC standard)
PNT-BM-HC168,BM,Historical Collection,HC-168,Chelsea Gray,#878880,false,false,Classic mid-tone gray · Coating: ML Campbell (ACC standard)
